# word,quad,pos,reformed
# Reformed by script using Examples/oxford.yaml and Examples/non-oxford.yaml

word,quad,pos,reformed
a,-,article determiner,a
abandon,1,verb,abandon
abbreviate,-,-,abbreviate
abbreviation,-,-,abbreviation
abdomen,-,-,abdomen
ability,-,-,ability
able,-,-,able
abnormal,-,-,abnormal
abnormality,-,-,abnormality
aboard,1,preposition,aboard
aboard,2,adverb,aboard
abolish,-,-,abollish
abortion,-,-,abortion
about,1,preposition,about
about,2,adverb,about
about,3,adjective,about
above,1,adverb preposition,above
above,2,adjective,above
abroad,-,-,abraud
abrupt,-,-,abrupt
abruptly,-,-,abruptly
absence,-,-,absence
absent,1,adjective,absent
absolute,1,adjective,absolute
absolutely,-,-,absolutely
absorb,-,-,absorb
abstain,-,-,abstain
abstract,1,adjective,abstract
abstract,2,noun,abstract
absurd,-,-,absurd
abundance,-,-,abundance
abundant,-,-,abundant
abuse,1,noun,abuse
abuse,2,verb,abuse
academic,1,adjective,academic
academic,2,noun,academic
accelerate,-,-,accelerate
acceleration,-,-,acceleration
accent,1,noun,accent
accept,-,-,accept
acceptable,-,-,acceptable
acceptance,-,-,acceptance
accepted,-,-,accepted
access,1,noun,access
access,2,verb,access
accessible,-,-,accessible
accessory,-,-,accessory
accident,-,-,accident
accidental,-,-,accidental
accidentally,-,-,accidentally
accommodate,-,-,accommodate
accommodation,-,-,accommodation
accompany,-,-,accompany
accomplish,-,-,accomplish
accomplishment,-,-,accompletion
accord,1,noun,accord
accordance,-,-,accordance
accordingly,-,-,accordingly
according,-,preposition,according
account,1,noun,account
account,2,verb,account
accountable,-,-,accomputable
accountant,-,-,accountant
accounting,-,-,accounting
accumulate,-,-,accumulate
accuracy,-,-,accuracy
accurate,-,-,accurate
accusation,-,-,accusation
accuse,-,-,accuse
accustom,-,-,accustom
ache,1,verb,ache
ache,2,noun,ache
achieve,-,-,acheve
achievement,-,-,achievement
acid,1,noun,acid
acknowledge,-,-,acknolledge
acknowledgement,-,-,acknowledgement
acoustic,-,-,acoustic
acquaintance,-,-,acquaintance
acquainted,-,-,acquainted
acquire,-,-,acquire
acre,-,-,acre
acrimonious,-,-,acrimonious
across,-,preposition,across
act,1,noun,act
act,2,verb,act
action,1,noun,action
active,1,adjective,active
actively,-,-,actively
activist,-,-,activist
activity,-,-,activity
actor,-,-,actor
actress,-,-,actrix
actual,-,-,actual
actually,-,-,actually
acute,-,-,acute
acutely,-,-,acutely
ad,-,-,ad
adapt,-,-,adapt
add,-,-,add
added,-,-,added
addict,-,-,addict
addicted,-,-,addicted
addiction,-,-,addiction
addictive,-,-,addictive
addition,-,-,addition
additional,-,-,additional
additionally,-,-,additionally
address,1,noun,address
address,2,verb,address
adequate,-,-,adequate
adequately,-,-,adequately
adhere,-,-,ad·here
adjacent,-,-,adjacent
adjective,-,-,adjective
adjourn,-,-,adjourn
adjust,-,-,adjust
adjustment,-,-,adjustment
administer,-,-,administer
administration,-,-,administration
administrative,-,-,administrative
administrator,-,-,administrator
admirable,-,-,admirable
admiration,-,-,admiration
admire,-,-,admire
admirer,-,-,admirer
admission,-,-,admission
admit,-,-,admit
admittedly,-,-,admittedly
adolescence,-,-,adolescence
adolescent,-,-,adolescent
adopt,-,-,adopt
adore,-,-,adore
adult,1,noun,adult
adult,2,adjective,adult
advance,1,noun,advance
advance,2,verb,advance
advanced,-,-,advanced
advantage,-,-,advantage
advantageous,-,-,advantageous
advent,-,-,advent
adventure,-,-,adventure
adventurous,-,-,adventurous
adverb,-,-,adverb
adversary,-,-,adversary
adverse,-,-,adverse
advert,1,noun,advert
advertise,-,-,advertize
advertisement,-,-,advertisement
advertising,-,-,advertising
advice,-,-,advice
advise,-,-,advise
adviser,-,-,adviser
advisory,1,adjective,advisory
advocate,1,verb,advocate
advocate,2,noun,advocate
aerial,1,adjective,aerial
aesthetic,1,adjective,esthetic
affair,-,-,affair
affect,-,-,affect
affection,-,-,affection
affectionate,-,-,affectionate
affinity,-,-,affinity
affirm,-,-,affirm
afflict,-,-,afflict
affluent,-,-,affluent
afford,-,-,afford
affordable,-,-,affordable
afraid,-,-,afraid
after,1,preposition conjunction adverb,after
after-effect,-,-,after-effect
aftermath,-,-,aftermath
afternoon,1,noun,afternoon
afterwards,-,-,afterwards
again,-,-,agen
against,-,-,agenst
age,1,noun,age
age,2,verb,age
aged,1,adjective,aged
agency,-,-,agency
agenda,-,-,agenda
agent,-,-,agent
aggravate,-,-,aggravate
aggression,-,-,aggression
aggressive,-,-,aggressive
agile,-,-,agile
ago,-,-,ago
agony,-,-,agony
agree,-,-,agree
agreed,-,-,agreed
agreement,-,-,agreement
agriculture,-,-,agriculture
ahead,-,-,ahed
aid,1,noun,aid
aid,2,verb,aid
aide,-,-,aid
ailment,-,-,ailment
aim,1,noun,aim
aim,2,verb,aim
air,1,noun,air
air,2,verb,air
aircraft,-,-,aircraft
air,-,noun,air
airline,-,-,airline
airport,-,-,airport
aisle,-,-,aisle
ajar,-,-,ajar
alarm,1,noun,alarm
alarm,2,verb,alarm
alarmed,-,-,alarmed
alarming,-,-,alarming
albeit,-,-,all-be-it
album,-,-,album
alcohol,-,-,alcohol
alcoholic,1,adjective,alcoholic
alcoholic,2,noun,alcoholic
alert,1,adjective,alert
alert,2,verb,alert
alibi,-,-,alibi
alien,1,adjective,alien
alien,2,noun,alien
alienate,-,-,alienate
alight,1,adjective,alight
align,-,-,align
alignment,-,-,alignment
alike,1,adjective,alike
alike,2,adverb,alike
alive,-,-,alive
all,1,determiner predeterminer pronou,all
all,2,adverb,all
allegation,-,-,allegation
allege,-,-,allege
allegedly,-,-,allegedly
allegiance,-,-,allegiance
allergic,-,-,allergic
allergy,-,-,allergy
alleviate,-,-,alleviate
alley,-,-,alley
alliance,-,-,alligance
allied,-,-,allied
allocate,-,-,allocate
allocation,-,-,allocation
allow,-,-,allow
allowance,-,-,allowing
allude,-,-,allude
ally,1,noun,ally
almighty,-,-,almighty
almost,-,-,allmost
alone,-,adverb,alone
along,1,adverb,along
along,2,preposition,along
alongside,-,preposition,alongside
aloud,-,-,aloud
alphabet,-,-,alphabet
alphabetical,-,-,alphabetical
already,-,-,allreddy
alright,-,adjective adverb interjection,alright
also,-,-,allso
altar,-,-,altar
alter,-,-,alter
alteration,-,-,alteration
alternate,1,adjective,alternate
alternate,2,verb,alternate
alternative,1,adjective,alternative
alternative,2,noun,alternative
alternatively,-,-,alternatively
although,-,-,alldho
altitude,-,-,altitude
altogether,1,adverb,all-togeddher
aluminium,-,-,aluminium
always,-,-,allways
a.m.,-,-,a.m.
amateur,1,noun,amator
amateur,2,adjective,amator
amaze,-,-,amaze
amazed,-,-,amazed
amazement,-,-,amazement
amazing,-,-,amazing
ambassador,-,-,ambassador
ambiguity,-,-,ambiguity
ambiguous,-,-,ambiguous
ambition,-,-,ambition
ambitious,-,-,ambitious
ambulance,-,-,ambulance
ambush,-,-,ambush
amend,-,-,emend
amendment,-,-,emendament
amenity,-,-,amenity
amicable,-,-,amicable
amid,-,-,amid
ammunition,-,-,ammunition
amnesty,-,-,amnesty
among,-,-,among
amount,1,noun,amount
amount,2,verb,amount
ample,-,-,ample
amuse,-,-,amuse
amused,-,-,amused
amusement,-,-,amusement
amusing,-,-,amusing
an,-,article determiner,an
anaesthetic,-,-,anaesthetic
anagram,-,-,anagram
analogous,-,-,analogous
analogy,-,-,analogy
analyse,-,-,analyse
analysis,-,-,analysis
analyst,-,-,analyst
analytical,-,-,analytical
anarchy,-,-,anarchy
anatomy,-,-,anatomy
ancestor,-,-,ancestor
ancient,1,adjective,ancient
and,-,-,and
anecdote,-,-,anecdote
angel,-,-,angel
anger,1,noun,anger
anger,2,verb,anger
angle,1,noun,angle
angry,-,-,angry
anguish,-,-,anguish
animal,1,noun,animal
animosity,-,-,animosity
ankle,-,-,ankle
anniversary,-,-,anniversary
announce,-,-,announce
announcement,-,-,announcement
annoy,-,-,annoy
annoyed,-,-,annoyed
annoying,-,-,annoying
annual,1,adjective,annual
annually,-,-,annually
anomaly,-,-,anomaly
anonymous,-,-,anonymous
another,-,pronoun,another
answer,1,noun,anser
answer,2,verb,anser
ant,-,-,ant
anthem,-,-,anthem
anthology,-,-,anthology
antibiotic,-,-,antibiotic
anticipate,-,-,anticipate
anticipation,-,-,anticipation
antidote,-,-,antidote
antique,1,adjective,antique
antique,2,noun,antique
antonym,-,-,antonym
anxiety,-,-,anxiety
anxious,-,-,anxious
any,1,determiner pronoun,any
any,2,adverb,any
anybody,-,-,anybody
anyhow,-,-,anyhow
anymore,-,-,anymore
anyone,-,-,anyone
anything,-,-,anything
anytime,-,-,anytime
anyway,-,-,anyway
anywhere,-,-,anywhere
apart,-,adjective,apart
apartment,-,-,apartment
apathetic,-,-,apathetic
apathy,-,-,apathy
ape,1,noun,ape
apologetic,-,-,apologetic
apologize,-,-,apologize
apology,-,-,apology
appal,-,-,appal
appalled,-,-,appalled
appalling,-,-,appalling
apparatus,-,-,apparatus
apparent,-,-,apparent
apparently,-,-,apparently
appeal,1,noun,appeal
appeal,2,verb,appeal
appear,-,-,appear
appearance,-,-,apparence
appendix,-,-,appendix
appetite,-,-,appetite
appetizing,-,-,appetizing
applaud,-,-,applaud
applause,-,-,applause
apple,-,-,apple
applicant,-,-,applicant
application,-,-,application
applied,-,-,applied
apply,-,-,apply
appoint,-,-,appoint
appointment,-,-,appointment
appraisal,-,-,appraisal
appreciate,-,-,appreciate
appreciation,-,-,appreciation
apprehension,-,-,apprehension
apprehensive,-,-,apprehensive
apprentice,-,-,apprentice
approach,1,noun,approach
approach,2,verb,approach
appropriate,1,adjective,appropriate
appropriately,-,-,appropriately
approval,-,-,approoval
approve,-,-,approove
approximate,1,adjective,approximate
approximately,-,-,approximately
approximation,-,-,approximation
April,-,-,April
apron,-,-,apron
apt,-,-,apt
aquarium,-,-,aquarium
arbitrary,-,-,arbitrary
arc,-,-,arc
arch,1,noun,arch
archaeology,-,-,archaeology
architect,-,-,architect
architecture,-,-,architecture
archive,1,noun,arkhive
area,-,-,area
arena,-,-,arena
arguable,-,-,arguble
arguably,-,-,arguably
argue,-,-,argue
argument,-,-,argument
argumentative,-,-,argumentative
arise,-,-,arise
arithmetic,1,noun,arithmetic
arm,1,noun,arm
armchair,1,noun,armchair
armed,-,-,armed
armour,-,-,armour
army,-,-,army
aroma,-,-,aroma
around,-,preposition,around
arouse,-,-,arouse
arrange,-,-,arrange
arrangement,-,-,arrangement
array,1,noun,array
arrest,1,verb,arrest
arrest,2,noun,arrest
arrival,-,-,arrival
arrive,-,-,arrive
arrogance,-,-,arrogance
arrogant,-,-,arrogant
arrow,-,-,arro
art,1,noun,árt
artefact,-,-,artefact
article,-,-,article
articulate,1,verb,articulate
articulate,2,adjective,articulate
artificial,-,-,artificial
artist,-,-,artist
artistic,-,-,artistic
artwork,-,-,artwork
as,1,preposition adverb,as
as,2,conjunction,as
ascend,-,-,ascend
ascertain,-,-,ascertain
ash,-,-,ash
ashamed,-,-,ashamed
aside,1,adverb,aside
ask,1,verb,ask
asleep,-,-,asleep
aspect,-,-,aspect
aspiration,-,-,aspiration
aspire,-,-,aspire
aspirin,-,-,aspirin
assassin,-,-,assassin
assassinate,-,-,assassinate
assassination,-,-,assassination
assault,1,noun,assault
assault,2,verb,assault
assemble,-,-,assemble
assembly,-,-,assembly
assert,-,-,assert
assertion,-,-,assertion
assertive,-,-,assertive
assess,-,-,assess
assessment,-,-,assessment
asset,-,-,asset
assign,-,-,assign
assignment,-,-,assignment
assist,1,verb,assist
assistance,-,-,assistance
assistant,1,adjective,assistant
assistant,2,noun,assistant
associate,1,verb,associate
associate,2,noun,associate
association,-,-,association
assume,-,-,assume
assumption,-,-,assumption
assurance,-,-,assurance
assure,-,-,assure
assured,-,-,assured
asthma,-,-,asthma
astonish,-,-,astonnish
astonished,-,-,astonished
astonishing,-,-,astonishing
astonishment,-,-,astonition
astronaut,-,-,astronaut
astronomy,-,-,astronomy
astute,-,-,astute
asylum,-,-,asylum
at,-,-,at
athlete,-,-,athlete
athletic,-,-,athletic
athletics,-,-,athletics
atlas,-,-,atlas
atmosphere,-,-,atmosphere
atom,-,-,atom
atomic,-,-,atomic
attach,-,-,attach
attachment,-,-,attachment
attack,1,noun,attack
attack,2,verb,attack
attacker,-,-,attacker
attain,-,-,attain
attainment,-,-,attainment
attempt,1,noun,attempt
attempt,2,verb,attempt
attend,-,-,attend
attendance,-,-,attendance
attention,-,-,attention
attic,-,-,attic
attitude,-,-,attitude
attorney,-,-,attorney
attract,-,-,attract
attraction,-,-,attraction
attractive,-,-,attractive
attribute,1,verb,attribute
attribute,2,noun,attribute
atypical,-,-,atypical
auction,1,noun,auction
audience,-,-,audience
auditorium,-,-,auditorium
augment,-,-,augment
August,-,-,August
aunt,-,-,aunt
aura,-,-,aura
austere,-,-,austere
authentic,-,-,authentic
author,1,noun,author
authoritarian,-,-,authoritarian
authoritative,-,-,authoritative
authority,-,-,authority
authorization,-,-,authorization
authorize,-,-,authorize
autobiography,-,-,autobiography
automatic,1,adjective,automatic
automatically,-,-,automatically
automobile,-,-,automobile
autonomous,-,-,autonomous
autonomy,-,-,autonnomy
autumn,-,-,fall
availability,-,-,availability
available,-,-,available
avalanche,-,-,avalanche
avenue,-,-,avenue
average,1,adjective,average
average,2,noun,average
average,3,verb,average
avert,-,-,avert
avoid,-,-,avoid
await,-,-,await
awake,1,adjective,awake
awaken,-,-,awaken
award,1,noun,award
award,2,verb,award
aware,-,-,aware
awareness,-,-,awareness
away,1,adverb,away
awe,1,noun,awe
awesome,-,-,awesome
awful,1,adjective,awful
awkward,-,-,awkward
axe,1,noun,axe
axis,-,-,axis
baby,1,noun,baby
bachelor,-,-,bachelor
back,1,adverb,back
back,2,noun,back
back,3,verb,back
back,4,adjective,back
backbone,-,-,backbone
backfire,-,-,backfire
background,-,-,background
backing,-,-,backing
backpack,-,-,backpack
