
a,a,d
a.m.,a.m.,n
abandon,abandon,v
ability,ability,n
able,able,adj
about,about,p
above,abuv,p
abroad,abraud,adv
absent,absent,adj
absolute,absolute,adj
absorb,absorb,v
abuse,abuse,n
academic,academic,n/adj
accent,accent,nv
accept,accept,v
access,access,n
accident,accident,n
accommodate,accommodate,v
accompany,accompany,v
account,account,n
accurate,accurate,adj
accuse,accuse,v
achieve,acheve,v
acid,ascid,n
acknowledge,acknolledge,v
acquire,acquire,v
across,across,p
act,act,v
action,action,n
active,active,adj
actor,actor,n
actress,actrix,n
actual,actual,adj
ad,ad,n
adapt,adapt,v
add,add,v
addition,addition,n
address,address,n
adequate,adequate,adj
adjust,adjust,v
admire,admire,v
admit,admit,v
adopt,adopt,v
adult,adult,n/adj
advance,advance,nv
advantage,advantage,n
adventure,adventure,n
advert,advert,nv
advertise,advertise,v
advice,advice,n
advise,advise,v
affair,affair,n
affect,affect,v
affection,affection,n
afford,afford,v
afraid,afraid,adj
after,after,p
afternoon,afternoon,n
afterwards,afterwards,adv
again,again,adv
against,agenst,prep
age,age,nv
agency,agency,n
agent,agent,n
aggressive,aggressive,adj
ago,ago,adv
agree,agree,v
ahead,ahead,adv
aid,aid,nv
aim,aim,nv
air,air,nv
aircraft,aircraft,n
airport,airport,n
alarm,alarm,nv
alcohol,alcohol,n
alive,alive,adj
all,all,pron
allow,allou,v
ally,al·ligh,n
almost,allmost,adv
alone,alone,adj
along,along,p
alongside,alongside,p
aloud,aloud,adv
alphabet,alphabet,n
already,alreddy,adv
alright,allright,adj
also,also,adv
alter,alter,v
alternate,alternate,adj/v
although,although,c
altogether,altogether,adv
always,always,adv
amaze,amaze,v
ambition,ambition,n
ambulance,ambulance,n
among,among,p
amount,amount,nv
amuse,amuse,v
analyse,analyse,v
analysis,analysis,n
ancient,ancient,
and,and,c
anger,angger,nv
angle,angle,nv
angry,angry,adj
animal,animal,n/adj
ankle,ankle,nv
anniversary,anniversary,
announce,announce,v
annoy,annoy,v
annual,annual,adj
another,another,dp
answer,ansser,nv
anticipate,anticipate,v
anxiety,anxiety,n
anxious,anxious,adj
any,any,dp
anybody,anybody,pron
anyone,anyone,pron
anything,anything,pron
anyway,anyway,adv
anywhere,anywhere,adv
apart,apart,adv
apologize,apologize,v
apparent,apparent,adj
appeal,appeal,nv
appear,appear,v
appearance,apparence,n
apple,apple,n
application,application,n
apply,apply,v
appoint,appoint,nv
appreciate,appreciate,v
approach,approach,nv
appropriate,appropriate,nv
approval,approval,n
approve,approve,v
approximate,approximate,adj
April,April,n
area,area,n
argue,argue,v
argument,argument,n
arise,arise,v
arm,arm,n
army,army,n
around,around,p
arrange,arrange,
arrangement,arrangement,
arrest,arrest,
arrival,arrival,
arrive,arrive,
arrow,arrow,
art,art,
article,article,
artificial,artificial,
artificially,artificially,
artist,artist,
artistic,artistic,
artistically,artistically,
as,as,
ashamed,ashamed,
aside,aside,
ask,ask,
asleep,asleep,
aspect,aspect,
assist,assist,
assistance,assistance,
assistant,assistant,
associate,associate,
associated,associated,
association,association,
assume,assume,
assure,assure,
at,at,
atmosphere,atmosphere,
atom,atom,
attach,attach,
attached,attached,
attack,attack,
attempt,attempt,
attempted,attempted,
attend,attend,
attention,attention,
attitude,attitude,
attorney,attorney,
attract,attract,
attraction,attraction,
attractive,attractive,
audience,audience,
August,August,
aunt,aunt,
author,author,
authority,authority,
automatic,automatic,
automatically,automatically,
autumn,autumn,
available,available,
average,average,
avoid,avoid,
awake,awake,
award,award,
aware,aware,
away,away,
awful,awful,
awfully,awfully,
awkward,awkward,
awkwardly,awkwardly,
baby,baby,
back,back,
background,background,
backward,backward,
backwards,backwards,
bacteria,bacteria,
bad,bad,
badly,badly,
bag,bag,
baggage,baggage,
bake,bake,
balance,balance,
ball,ball,
ban,ban,
band,band,
bandage,bandage,
bank,bank,
bar,bar,
bargain,bargain,
barrier,barrier,
base,base,
based,based,
basic,basic,
basically,basically,
basis,basis,
bath,bath,
bathroom,bathroom,
battery,battery,
battle,battle,
bay,bay,
be,be,
beach,beach,
beak,beak,
bear,bear,
beard,beard,
beat,beat,
beautiful,beautiful,
beautifully,beautifully,
beauty,beauty,
because,because,
become,become,
bed,bed,
bedroom,bedroom,
beef,beef,
beer,beer,
before,before,
begin,begin,
beginning,beginning,
behalf,behalf,
behave,behave,
behaviour,behaviour,
behind,behind,
belief,belief,
believe,believe,
bell,bell,
belong,belong,
below,below,
belt,belt,
bend,bend,
beneath,beneath,
benefit,benefit,
bent,bent,
beside,beside,
best,best,
bet,bet,
better,better,
betting,betting,
between,between,
beyond,beyond,
bicycle,bicycle,
big,big,
bike,bike,
bill,bill,
billion,billion,
bin,bin,
biology,biology,
bird,bird,
birth,birth,
birthday,birthday,
biscuit,biscuit,
bit,bit,
bite,bite,
bitter,bitter,
bitterly,bitterly,
black,black,
blade,blade,
blame,blame,
blank,blank,
blind,blind,
block,block,
blonde,blonde,
blood,blood,
blow,blow,
blue,blue,
board,board,
boat,boat,
body,body,
boil,boil,
bomb,bomb,
bone,bone,
book,book,
boot,boot,
border,border,
bore,bore,
bored,bored,
boring,boring,
born,born,
borrow,borrow,
boss,boss,
both,both,
bother,bother,
bottle,bottle,
bottom,bottom,
bound,bound,
bowl,bowl,
box,box,
boy,boy,
boyfriend,boyfriend,
brain,brain,
branch,branch,
brand,brand,
brave,brave,
bread,bread,
break,break,
breakfast,breakfast,
breast,breast,
breath,breath,
breathe,breathe,
breathing,breathing,
breed,breed,
brick,brick,
bridge,bridge,
brief,brief,
briefly,briefly,
bright,bright,
brightly,brightly,
brilliant,brilliant,
bring,bring,
broad,broad,
broadcast,broadcast,
broadly,broadly,
broken,broken,
brother,brother,
brown,brown,
brush,brush,
bubble,bubble,
budget,budget,
build,build,
building,building,
bullet,bullet,
bunch,bunch,
burn,burn,
burnt,burnt,
burst,burst,
bury,bury,
bus,bus,
bush,bush,
business,business,
businessman,businessman,
busy,busy,
but,but,
butter,butter,
button,button,
buy,buy,
buyer,buyer,
by,by,
bye,bye,
cabinet,cabinet,
cable,cable,
cake,cake,
calculate,calculate,
calculation,calculation,
call,call,
called,called,
calm,calm,
calmly,calmly,
camera,camera,
camp,camp,
campaign,campaign,
camping,camping,
cancel,cancel,
cancer,cancer,
candidate,candidate,
candy,candy,
cannot,cannot,
cap,cap,
capable,capable,
capacity,capacity,
capital,capital,
captain,captain,
capture,capture,
car,car,
card,card,
cardboard,cardboard,
care,care,
career,career,
careful,careful,
carefully,carefully,
careless,careless,
carelessly,carelessly,
carpet,carpet,
carrot,carrot,
carry,carry,
case,case,
cash,cash,
cast,cast,
castle,castle,
cat,cat,
catch,catch,
category,category,
cause,cause,
CD,CD,
cease,cease,
ceiling,ceiling,
celebrate,celebrate,
celebration,celebration,
cell,cell,
cent,cent,
centimetre,centimetre,
central,central,
centre,centre,
century,century,
ceremony,ceremony,
certain,certain,
certainly,certainly,
certificate,certificate,
chain,chain,
chair,chair,
chairman,chairman,
chairwoman,chairwoman,
challenge,challenge,
chamber,chamber,
chance,chance,
change,change,
channel,channel,
chapter,chapter,
character,character,
characteristic,characteristic,
charge,charge,
charity,charity,
chart,chart,
chase,chase,
chat,chat,
cheap,cheap,
cheaply,cheaply,
cheat,cheat,
check,check,
cheek,cheek,
cheerful,cheerful,
cheerfully,cheerfully,
cheese,cheese,
chemical,chemical,
chemist,chemist,
chemistry,chemistry,
cheque,cheque,
chest,chest,
chew,chew,
chicken,chicken,
chief,chief,
child,child,
chin,chin,
chip,chip,
chocolate,chocolate,
choice,choice,
choose,choose,
chop,chop,
church,church,
cigarette,cigarette,
cinema,cinema,
circle,circle,
circumstance,circumstance,
citizen,citizen,
city,city,
civil,civil,
claim,claim,
clap,clap,
class,class,
classic,classic,
classroom,classroom,
clean,clean,
clear,clear,
clearly,clearly,
clerk,clerk,
clever,clever,
click,click,
client,client,
climate,climate,
climb,climb,
climbing,climbing,
clock,clock,
closed,closed,
closely,closely,
closet,closet,
cloth,cloth,
clothes,clothes,
clothing,clothing,
cloud,cloud,
club,club,
coach,coach,
coal,coal,
coast,coast,
coat,coat,
code,code,
coffee,coffee,
coin,coin,
cold,cold,
coldly,coldly,
collapse,collapse,
colleague,colleague,
collect,collect,
collection,collection,
college,college,
colour,colour,
coloured,coloured,
column,column,
combination,combination,
combine,combine,
come,come,
comedy,comedy,
comfort,comfort,
comfortable,comfortable,
comfortably,comfortably,
command,command,
comment,comment,
commercial,commercial,
commission,commission,
commit,commit,
commitment,commitment,
committee,committee,
common,common,
commonly,commonly,
communicate,communicate,
communication,communication,
community,community,
company,company,
compare,compare,
comparison,comparison,
compete,compete,
competition,competition,
competitive,competitive,
complain,complain,
complaint,complaint,
complete,complete,
completely,completely,
complex,complex,
complicate,complicate,
complicated,complicated,
computer,computer,
concentrate,concentrate,
concentration,concentration,
concept,concept,
concern,concern,
concerned,concerned,
concerning,concerning,
concert,concert,
conclude,conclude,
conclusion,conclusion,
concrete,concrete,
condition,condition,
conduct,conduct,
conference,conference,
confidence,confidence,
confident,confident,
confidently,confidently,
confine,confine,
confined,confined,
confirm,confirm,
conflict,conflict,
confront,confront,
confuse,confuse,
confused,confused,
confusing,confusing,
confusion,confusion,
congratulate,congratulate,
congratulation,congratulation,
congress,congress,
connect,connect,
connected,connected,
connection,connection,
conscious,conscious,
consequence,consequence,
conservative,conservative,
